    batch 260/500, loss=0.1171
    batch 270/500, loss=0.1053
    batch 280/500, loss=0.1318
    batch 290/500, loss=0.0706
    batch 300/500, loss=0.0927
    batch 310/500, loss=0.0929
    batch 320/500, loss=0.0700
    batch 330/500, loss=0.1851
    batch 340/500, loss=0.1459
    batch 350/500, loss=0.1456
    batch 360/500, loss=0.0890
    batch 370/500, loss=0.0814
    batch 380/500, loss=0.1582
    batch 390/500, loss=0.1007
    batch 400/500, loss=0.1764
    batch 410/500, loss=0.1330
    batch 420/500, loss=0.0858
    batch 430/500, loss=0.1059
    batch 440/500, loss=0.0903
    batch 450/500, loss=0.0822
    batch 460/500, loss=0.0978
    batch 470/500, loss=0.1014
    batch 480/500, loss=0.1263
    batch 490/500, loss=0.1268
    batch 500/500, loss=0.1544
Epoch 81/150 — loss=0.1161, lr=2.49e-03, time=317.8s
    batch 10/500, loss=0.2161
    batch 20/500, loss=0.0672
    batch 30/500, loss=0.1847
    batch 40/500, loss=0.1207
    batch 50/500, loss=0.1121
    batch 60/500, loss=0.0855
    batch 70/500, loss=0.1118
    batch 80/500, loss=0.0829
    batch 90/500, loss=0.0834
    batch 100/500, loss=0.0997
    batch 110/500, loss=0.0910
    batch 120/500, loss=0.1363
    batch 130/500, loss=0.0679
    batch 140/500, loss=0.0605
    batch 150/500, loss=0.0842
    batch 160/500, loss=0.0877
    batch 170/500, loss=0.1423
    batch 180/500, loss=0.1328
    batch 190/500, loss=0.1518
    batch 200/500, loss=0.1315
    batch 210/500, loss=0.1103
    batch 220/500, loss=0.1034
    batch 230/500, loss=0.0702
    batch 240/500, loss=0.0582
    batch 250/500, loss=0.0943
    batch 260/500, loss=0.0938
    batch 270/500, loss=0.1586
    batch 280/500, loss=0.0911
    batch 290/500, loss=0.1088
    batch 300/500, loss=0.0708
    batch 310/500, loss=0.0804
    batch 320/500, loss=0.1393
    batch 330/500, loss=0.0929
    batch 340/500, loss=0.1449
    batch 350/500, loss=0.0982
    batch 360/500, loss=0.0872
    batch 370/500, loss=0.1190
    batch 380/500, loss=0.0681
    batch 390/500, loss=0.1322
    batch 400/500, loss=0.1257
    batch 410/500, loss=0.0821
    batch 420/500, loss=0.1408
    batch 430/500, loss=0.0806
    batch 440/500, loss=0.0501
    batch 450/500, loss=0.1190
    batch 460/500, loss=0.0669
    batch 470/500, loss=0.0726
    batch 480/500, loss=0.0685
    batch 490/500, loss=0.2011
    batch 500/500, loss=0.0855
Epoch 82/150 — loss=0.1140, lr=2.45e-03, time=366.8s
    batch 10/500, loss=0.2045
    batch 20/500, loss=0.1250
    batch 30/500, loss=0.1263
    batch 40/500, loss=0.1056
    batch 50/500, loss=0.1353
    batch 60/500, loss=0.0726
    batch 70/500, loss=0.1000
    batch 80/500, loss=0.0817
    batch 90/500, loss=0.1382
    batch 100/500, loss=0.1648
    batch 110/500, loss=0.0833
    batch 120/500, loss=0.0770
    batch 130/500, loss=0.1190
    batch 140/500, loss=0.0741
    batch 150/500, loss=0.1518
    batch 160/500, loss=0.1833
    batch 170/500, loss=0.0917
    batch 180/500, loss=0.1358
    batch 190/500, loss=0.1169
    batch 200/500, loss=0.0740
    batch 210/500, loss=0.1221
    batch 220/500, loss=0.0808
    batch 230/500, loss=0.1680
    batch 240/500, loss=0.1011
    batch 250/500, loss=0.0860
    batch 260/500, loss=0.0984
